timestamp,location,voltage,current,power_kw,energy_kwh,power_factor
2026-08-01 02:53:33,Main Meter,237.5,2.16,0.482,1119.64,0.94
2026-08-01 02:53:33,Lab Building A,231.7,1.59,0.335,986.57,0.91
2026-08-01 02:53:33,Library Wing,224.6,1.57,0.314,726.53,0.89
2026-08-01 02:53:33,Computer Center,229.7,2.32,0.506,749.66,0.95
2026-08-01 02:53:33,Cafeteria Block,226.5,1.83,0.402,564.1,0.97
2026-08-01 06:49:23,Main Meter,227.6,2.33,0.514,1122.68,0.97
2026-08-01 06:49:23,Lab Building A,224.0,0.94,0.187,987.65,0.89
2026-08-01 06:49:23,Library Wing,238.9,0.74,0.171,727.58,0.97
2026-08-01 06:49:23,Computer Center,229.9,1.65,0.345,751.59,0.91
2026-08-01 06:49:23,Cafeteria Block,231.6,1.69,0.364,566.37,0.93
2026-08-01 10:53:02,Main Meter,225.9,4.35,0.884,1127.54,0.9
2026-08-01 10:53:02,Lab Building A,238.4,3.18,0.72,992.31,0.95
2026-08-01 10:53:02,Library Wing,219.8,3.42,0.692,731.77,0.92
2026-08-01 10:53:02,Computer Center,222.9,6.76,1.401,759.71,0.93
2026-08-01 10:53:02,Cafeteria Block,218.7,3.76,0.773,570.98,0.94
2026-08-01 14:03:10,Main Meter,221.8,4.77,1.005,1133.51,0.95
2026-08-01 14:03:10,Lab Building A,235.3,4.0,0.885,997.3,0.94
2026-08-01 14:03:10,Library Wing,222.4,2.85,0.589,735.55,0.93
2026-08-01 14:03:10,Computer Center,226.7,5.83,1.242,766.72,0.94
2026-08-01 14:03:10,Cafeteria Block,227.4,3.94,0.833,576.14,0.93
2026-08-01 18:58:59,Main Meter,238.8,3.68,0.835,1138.8,0.95
2026-08-01 18:58:59,Lab Building A,223.9,4.03,0.803,1002.43,0.89
2026-08-01 18:58:59,Library Wing,233.7,4.14,0.909,741.05,0.94
2026-08-01 18:58:59,Computer Center,226.0,7.52,1.581,775.55,0.93
2026-08-01 18:58:59,Cafeteria Block,229.1,2.98,0.635,579.8,0.93
2026-08-01 22:43:02,Main Meter,235.2,2.11,0.462,1141.76,0.93
2026-08-01 22:43:02,Lab Building A,220.3,1.12,0.225,1003.73,0.91
2026-08-01 22:43:02,Library Wing,229.9,1.02,0.227,742.32,0.97
2026-08-01 22:43:02,Computer Center,232.3,3.12,0.689,779.43,0.95
2026-08-01 22:43:02,Cafeteria Block,225.3,1.47,0.291,581.43,0.88
2026-08-02 02:35:16,Main Meter,218.2,2.27,0.456,1144.36,0.92
2026-08-02 02:35:16,Lab Building A,236.7,0.99,0.206,1004.94,0.88
2026-08-02 02:35:16,Library Wing,232.2,1.41,0.301,744.27,0.92
2026-08-02 02:35:16,Computer Center,237.9,1.97,0.455,782.3,0.97
2026-08-02 02:35:16,Cafeteria Block,220.8,1.0,0.203,582.74,0.92
2026-08-02 06:21:23,Main Meter,218.9,1.81,0.376,1146.52,0.95
2026-08-02 06:21:23,Lab Building A,237.6,1.15,0.26,1006.43,0.95
2026-08-02 06:21:23,Library Wing,230.7,1.48,0.307,745.97,0.9
2026-08-02 06:21:23,Computer Center,223.2,2.07,0.43,784.83,0.93
2026-08-02 06:21:23,Cafeteria Block,239.5,2.05,0.447,585.2,0.91
2026-08-02 10:15:33,Main Meter,239.8,4.51,1.006,1152.63,0.93
